X,Y
682499.875,462499.9375
702499.875,427499.9375
722499.875,427499.9375
792499.875,427499.9375
657499.875,422499.9375
682499.875,417499.9375
677499.875,412499.9375
717499.875,402499.9375
447499.9375,387499.9375
482499.9375,377499.9375
667499.875,377499.9375
697499.875,377499.9375
532499.875,372499.9375
682499.875,372499.9375
502499.9375,362499.9375
672499.875,362499.9375
687499.875,357499.9375
697499.875,352499.9375
592499.875,347499.9375
642499.875,347499.9375
467499.9375,342499.9375
547499.875,342499.9375
567499.875,342499.9375
647499.875,342499.9375
662499.875,342499.9375
672499.875,342499.9375
487499.9375,337499.9375
447499.9375,332499.9375
502499.9375,332499.9375
542499.875,332499.9375
492499.9375,327499.9375
497499.9375,327499.9375
597499.875,327499.9375
682499.875,327499.9375
607499.875,322499.9375
647499.875,322499.9375
437499.9375,317499.9375
487499.9375,317499.9375
602499.875,317499.9375
627499.875,317499.9375
567499.875,312499.9375
487499.9375,307499.9375
612499.875,307499.9375
447499.9375,302499.9375
457499.9375,302499.9375
467499.9375,302499.9375
472499.9375,302499.9375
632499.875,302499.9375
462499.9375,297499.9375
647499.875,297499.9375
457499.9375,292499.9375
467499.9375,292499.9375
477499.9375,292499.9375
522499.90625,292499.9375
457499.9375,287499.9375
577499.875,287499.9375
582499.875,287499.9375
632499.875,287499.9375
647499.875,287499.9375
302499.9375,282499.9375
442499.9375,282499.9375
447499.9375,282499.9375
622499.875,282499.9375
292499.9375,277499.9375
467499.9375,277499.9375
472499.9375,277499.9375
572499.875,277499.9375
582499.875,277499.9375
437499.9375,272499.9375
567499.875,272499.9375
572499.875,272499.9375
592499.875,272499.9375
597499.875,272499.9375
617499.875,272499.9375
622499.875,272499.9375
677499.875,272499.9375
437499.9375,267499.9375
607499.875,267499.9375
617499.875,267499.9375
297499.9375,262499.9375
442499.9375,262499.9375
452499.9375,262499.9375
482499.9375,262499.9375
577499.875,262499.9375
607499.875,262499.9375
627499.875,262499.9375
657499.875,262499.9375
667499.875,262499.9375
337499.9375,257499.953125
472499.9375,257499.953125
477499.9375,257499.953125
562499.875,257499.953125
567499.875,257499.953125
612499.875,257499.953125
627499.875,257499.953125
292499.9375,252499.96875
602499.875,252499.96875
417499.9375,247499.96875
442499.9375,247499.96875
632499.875,247499.96875
637499.875,247499.96875
442499.9375,242499.96875
582499.875,242499.96875
597499.875,242499.96875
377499.9375,237499.96875
587499.875,237499.96875
622499.875,237499.96875
317499.9375,232499.96875
387499.9375,232499.96875
407499.9375,232499.96875
652499.875,232499.96875
407499.9375,227499.96875
607499.875,227499.96875
622499.875,227499.96875
697499.875,227499.96875
377499.9375,222499.96875
407499.9375,222499.96875
602499.875,222499.96875
612499.875,222499.96875
632499.875,222499.96875
352499.9375,217499.96875
597499.875,217499.96875
637499.875,217499.96875
352499.9375,212499.96875
397499.9375,212499.96875
602499.875,212499.96875
607499.875,212499.96875
612499.875,212499.96875
627499.875,212499.96875
632499.875,212499.96875
647499.875,212499.96875
702499.875,212499.96875
632499.875,207499.96875
352499.9375,202499.96875
432499.9375,202499.96875
602499.875,202499.96875
707499.875,202499.96875
332499.9375,197499.96875
627499.875,197499.96875
672499.875,197499.96875
402499.9375,192499.96875
602499.875,192499.96875
337499.9375,187499.96875
377499.9375,187499.96875
652499.875,187499.96875
337499.9375,182499.96875
392499.9375,182499.96875
622499.875,182499.96875
327499.9375,177499.96875
392499.9375,177499.96875
407499.9375,172499.96875
417499.9375,172499.96875
507499.9375,172499.96875
587499.875,172499.96875
592499.875,172499.96875
597499.875,172499.96875
337499.9375,167499.96875
347499.9375,167499.96875
357499.9375,167499.96875
532499.875,167499.96875
692499.875,167499.96875
357499.9375,162499.96875
387499.9375,162499.96875
547499.875,162499.96875
602499.875,162499.96875
642499.875,162499.96875
647499.875,162499.96875
327499.9375,157499.96875
392499.9375,152499.96875
327499.9375,147499.96875
652499.875,147499.96875
332499.9375,142499.96875
337499.9375,142499.96875
557499.875,142499.96875
562499.875,142499.96875
567499.875,142499.96875
572499.875,142499.96875
652499.875,142499.96875
672499.875,142499.96875
697499.875,142499.96875
332499.9375,137499.96875
637499.875,137499.96875
677499.875,137499.96875
332499.9375,132499.96875
342499.9375,132499.96875
382499.9375,132499.96875
562499.875,132499.96875
632499.875,132499.96875
342499.9375,127499.97265625
612499.875,127499.97265625
362499.9375,122499.9765625
577499.875,122499.9765625
592499.875,122499.9765625
632499.875,122499.9765625
667499.875,122499.9765625
332499.9375,117499.9765625
577499.875,117499.9765625
327499.9375,112499.9765625
342499.9375,112499.9765625
377499.9375,112499.9765625
607499.875,112499.9765625
647499.875,112499.9765625
652499.875,112499.9765625
667499.875,112499.9765625
672499.875,112499.9765625
702499.875,112499.9765625
342499.9375,107499.9765625
377499.9375,107499.9765625
402499.9375,107499.9765625
567499.875,107499.9765625
587499.875,107499.9765625
602499.875,107499.9765625
607499.875,107499.9765625
597499.875,102499.98046875
657499.875,102499.98046875
342499.9375,92499.984375
452499.9375,92499.984375
462499.9375,92499.984375
487499.9375,92499.984375
572499.875,92499.984375
577499.875,92499.984375
707499.875,92499.984375
617499.875,87499.984375
472499.9375,82499.984375
497499.9375,82499.984375
247499.96875,77499.984375
437499.9375,77499.984375
467499.9375,77499.984375
472499.9375,77499.984375
497499.9375,77499.984375
582499.875,77499.984375
642499.875,77499.984375
442499.9375,72499.984375
637499.875,72499.984375
672499.875,72499.984375
342499.907366211,67678.578125
582499.875,67499.984375
587499.875,67499.984375
617499.875,67499.984375
252499.96875,62499.98828125
427499.9375,62499.98828125
597499.875,62499.98828125
247499.96875,57499.9921875
347499.9375,58084.96484375
517499.9375,57499.9921875
537499.875,57499.9921875
552499.875,57499.9921875
557499.875,57499.9921875
247499.96875,52499.9921875
257499.953125,52499.9921875
317499.9375,52499.9921875
457499.9375,52499.9921875
527499.875,52499.9921875
607499.875,52499.9921875
257499.953125,47499.9921875
267499.9375,47499.9921875
437499.9375,47499.9921875
592499.875,47499.9921875
602499.875,47499.9921875
622499.875,47499.9921875
257499.953125,42499.9921875
322499.9375,42499.9921875
497499.9375,42499.9921875
287499.9375,37499.9921875
607499.875,37499.9921875
282499.9375,32499.994140625
287499.9375,32499.994140625
312499.9375,32499.994140625
527499.84375,32499.994140625
557499.875,32499.994140625
567499.875,32499.994140625
272499.9375,27499.99609375
277499.9375,27499.99609375
287499.9375,27499.99609375
297499.9375,27499.99609375
567499.875,27499.99609375
572499.875,27499.99609375
582499.875,27499.99609375
587499.875,27499.99609375
257499.953125,22499.99609375
262499.9375,22499.99609375
272499.9375,22499.99609375
315814.640624988,23206.6992184976
422499.9375,22499.99609375
472499.9375,22499.99609375
522499.90625,22499.99609375
512499.9375,17499.99609375
522499.90625,17499.99609375
542499.875,17499.99609375
547499.875,17499.99609375
257499.953125,12499.9970703125
442499.9375,12499.9970703125
477499.9375,12499.9970703125
522499.90625,12499.9970703125
527499.875,12499.9970703125
537499.875,12499.9970703125
542499.875,12499.9970703125
552499.875,12499.9970703125
562499.875,12499.9970703125
567499.875,12499.9970703125
682499.875,12499.9970703125
272499.9375,7499.99853515625
277499.9375,7499.99853515625
428237.109375,7392.28027340107
497499.9375,7499.99853515625
552499.875,7499.99853515625
562499.875,7499.99853515625
592499.875,7499.99853515625
267499.9375,2499.99951171878
277499.9375,2499.99951171875
712499.875,2499.99951171875
267499.906249747,-2500.1628307394
452499.882929227,-2791.70605468751
462499.875,-7500.25634765625
667499.75,-7500.244140625
552499.75,-7500.212890625
532499.75,-7500.21337890625
472499.875,-7500.25732421875
477499.875,-7500.2578125
267499.875,-7500.28515625
467499.875,-12500.2568359375
267499.875,-12500.28515625
562499.75,-17500.2109375
532499.75,-17500.2138671875
462499.875,-17500.2568359375
267499.875,-17500.28515625
567499.75,-22500.2109375
507499.875,-22500.21484375
682499.75,-22500.275390625
272499.875,-22500.287109375
572499.75,-27500.2109375
482499.875,-27500.255859375
612499.75,-32500.208984375
582499.75,-32500.2109375
587499.75,-32500.2109375
467499.875,-32500.255859375
582499.75,-37500.2109375
587499.75,-37500.2109375
592499.75,-37500.2109375
702499.75,-37500.26953125
642499.75,-42500.20703125
627499.75,-42500.2109375
457499.875,-42500.2578125
492499.875,-42500.2578125
607499.75,-47500.2109375
447499.875,-47500.2578125
462499.875,-47500.2578125
702499.75,-47500.265625
627499.75,-52500.203125
