X,Y
502499.9375,312499.9375
372499.9375,247499.96875
367499.9375,242499.96875
372499.9375,242499.96875
372499.9375,237499.96875
372499.9375,227499.96875
377499.9375,227499.96875
382499.9375,227499.96875
392499.9375,227499.96875
104858.586858205,208435.078125
307499.9375,182499.96875
312499.9375,182499.96875
312499.9375,157499.96875
312499.9375,152499.96875
327499.9375,137499.96875
327499.9375,122499.9765625
332499.9375,117499.9765625
257499.953125,112499.9765625
337499.9375,92499.984375
232499.96875,87499.984375
372499.9375,72499.984375
212499.96875,72499.984375
377499.9375,72499.984375
377499.9375,68871.71875
202499.96875,62499.98828125
212499.96875,62499.98828125
432499.9375,62499.98828125
202499.96875,57499.9921875
212499.96875,57499.9921875
272499.9375,57499.9921875
207499.96875,52499.9921875
252499.96875,52499.9921875
432499.9375,52499.9921875
207499.96875,47499.9921875
257499.953125,47499.9921875
267499.9375,47499.9921875
447499.9375,47499.9921875
247499.96875,42499.9921875
267499.9375,37499.9921875
282499.9375,37499.9921875
332499.9375,37499.9921875
257499.953125,32499.994140625
282499.9375,32499.994140625
332499.9375,32970.6562505
247499.96875,27499.99609375
267499.9375,27499.99609375
316240.593749995,27649.9960940946
319483.5,29850.8203118019
257499.953125,22499.99609375
252499.96875,2499.99951171878
272499.9375,2499.99951171875
124572.935411049,-82556.8125
69599.3083759253,-132711.5
64591.1384455707,-132722.484375
94645.1325822423,-137662.53125
69622.089595689,-142727.453125
49598.9548450388,-147784.328125
59629.7927130835,-152768.65625
74680.3786234758,-162745.828125
69700.38641864,-172775.203125
94749.4489100051,-177709.65625
422499.875,-247500.34375
427499.875,-252500.34375
437499.875,-252500.34375
477499.875,-257500.3125
472499.875,-267500.3125
582499.75,-282500.3125
442499.875,-282500.375
447499.875,-282500.375
442499.875,-292500.375
297499.875,-297500.3125
312499.875,-297500.3125
322499.875,-302500.3125
337499.875,-302500.375
427499.875,-302500.375
402499.875,-312500.375
432499.875,-312500.375
412499.875,-322500.375
447499.875,-322500.375
422499.875,-327500.375
452498.140625,-333286.75
517499.875,-337500.25
522499.8125,-337500.25
417499.875,-337500.3125
457499.875,-337500.3125
462499.875,-337500.3125
467499.875,-337500.3125
492499.875,-337790.875
502499.875,-342500.21875
507499.875,-342500.25
422499.875,-342500.3125
442499.875,-342500.3125
472499.875,-342500.3125
477499.875,-342500.3125
482499.875,-342500.3125
367499.875,-347500.3125
377499.875,-347500.3125
412499.875,-347500.3125
422499.875,-347500.3125
442499.875,-347500.3125
462499.875,-347500.3125
482499.875,-347500.3125
512499.875,-352500.25
457499.875,-352500.3125
462499.875,-352500.3125
367499.875,-357500.3125
372499.875,-362500.3125
502499.875,-367500.21875
512499.875,-367500.25
372499.875,-367500.3125
452499.875,-367500.3125
487499.875,-367500.3125
497499.875,-372500.25
502499.875,-372500.21875
457499.875,-372500.3125
467499.875,-372500.3125
502499.875,-382491.34375
507499.875,-382500.25
517499.875,-387500.25
367499.875,-392500.3125
377499.875,-392500.3125
417499.875,-392500.3125
372499.875,-407255.34375
482499.875,-422500.25
492499.875,-422500.25
547499.875,-462500.25
547499.875,-467500.25
